#;;x;;;;;;;;;;;;x
#;;CUSTOM_LOCALISATION;;;;;;;;;;;;x
#;;PASS NAMES;;;;;;;;;;;;x
col_prov_1;Saint-Cergues pass;col de Saint-Cergues;;;;;;;;;;;;x
col_prov_2;Faucille pass;col de la Faucille;;;;;;;;;;;;x
col_prov_4a;SAxel pass;col de Saxel;;;;;;;;;;;;x
col_prov_4b;Feu pass;col de Feu;;;;;;;;;;;;x
col_prov_5a;Morgins pass;pas de Morgins;;;;;;;;;;;;x
col_prov_5b;Neuva pass;col de Neuva;;;;;;;;;;;;x
col_prov_6a;Mosses pass;col des Mosses ;;;;;;;;;;;;x
col_prov_6b;Pillon pass;col du Pillon;;;;;;;;;;;;x
col_prov_7;Châtillon pass;col de Châtillon ;;;;;;;;;;;;x
col_prov_8;Joux-plane pass;col de Joux-plane;;;;;;;;;;;;x
col_prov_9;Forclaz pass;col de la Forclaz;;;;;;;;;;;;x
col_prov_10a;Arbon pass;col d'Arbon;;;;;;;;;;;;x
col_prov_10b;Aravis pass;col des Aravis;;;;;;;;;;;;x
col_prov_11a;Evires pass;col d'Evires;;;;;;;;;;;;x
col_prov_11b;Glières pass;col des Glières;;;;;;;;;;;;x
col_prov_13;pass of Leschaux;col de Leschaux;;;;;;;;;;;;x
col_prov_18;Roselend pass;cormet de Roselend;;;;;;;;;;;;x
col_prov_65;Bowil pass;col de Signau;;;;;;;;;;;;x
