CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
trad_chretienne;;Tradition chrétienne;;;;;;;;;;;;x
trad_musulmane;;Tradition musulmane;;;;;;;;;;;;x
trad_autre;;;;;;;;;;;;;;x
minorite_chretienne;Christian minority;Minorité chrétienne;;;;;;;;;;;;x
minorite_chretienne_desc;;Des communautés chrétiennes vivent dans cette province. Elles peuvent avoir traditionnellement vécu ici depuis longtemps ou ont été attirées par la tolérance religieuse dont fait preuve le suzerain.;;;;;;;;;;;;x
minorite_musulmane;Muslim minority;Minorité musulmane;;;;;;;;;;;;x
minorite_musulmane_desc;;Des communautés musulmanes vivent dans cette province. Elles peuvent avoir traditionnellement vécu ici depuis longtemps ou ont été attirées par la tolérance religieuse dont fait preuve le suzerain.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
groupe_tolerance;Religious acceptance;Acceptation religieuse;;;;;;;;;;;;x
groupe_tolerance_desc;;Il s'agit du degré d'acceptation d'autres religions sur nos terres. /nLa présence de communautés d'autres religions ouvrent des opportunités dans les domaines économiques, artistiques ou scientifiques par exemple. Cela convient en général aux cités mais déplaît à notre Clergé.;;;;;;;;;;;;x
tolerance_nulle_option;None;Aucune;;;;;;;;;;;;x
tolerance_nulle;;Aucune acceptation religieuse;;;;;;;;;;;;x
tolerance_nulle_desc;;Les infidèles sont persécutés, convertis de force ou bannis.;;;;;;;;;;;;x
tolerance_limitee_option;Limited;Limitée;;;;;;;;;;;;x
tolerance_limitee;;Acceptation religieuse limitée;;;;;;;;;;;;x
tolerance_limitee_desc;;Les membres d'autres religions sont tolérés, notamment s'ils sont talentueux ou présentent un intérêt quelconque.;;;;;;;;;;;;x
tolerance_neutre_option;Moderate;Modérée;;;;;;;;;;;;x
tolerance_neutre;;Acceptation religieuse modérée;;;;;;;;;;;;x
tolerance_neutre_desc;;Les membres d'autres communautés religieuses sont relativement bien acceptés et disposent de droits. Cela profite entres autres au commerce.;;;;;;;;;;;;x
tolerance_neutre_option;High;Elevée;;;;;;;;;;;;x
tolerance_pleine;;Acceptation religieuse élevée;;;;;;;;;;;;x
tolerance_pleine_desc;;Les fidèles des différentes religions cohabitent dans la paix et le respect de l'autre, quoiqu'en disent les grincheux du Clergé.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
